date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:02:43	74172/74172	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2013:02:44%20GMT	https://wirid-lab.umng.edu.co/es/	C:/Users/vaneg/OneDrive/Escritorio/WiridLab/WiridLab/wirid-lab.umng.edu.co/es/index.html	(from )
08:02:43	127/127	---M-Z	200	added ('OK')	text/plain	date:Wed,%2015%20Mar%202023%2013:02:44%20GMT	https://wirid-lab.umng.edu.co/robots.txt		(from )
08:02:44	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-5bffc4972b9d0-gzip%22	https://wirid-lab.umng.edu.co/wp-includes/css/dashicons.min.css?ver=6.1.1	C:/Users/vaneg/OneDrive/Escritorio/WiridLab/WiridLab/wirid-lab.umng.edu.co/wp-includes/css/dashicons.min6a4d.css	(from https://wirid-lab.umng.edu.co/es/)
08:02:44	20300/20300	---M-Z	200	added ('OK')	text/css	etag:%224f4c-5ec76a6951576-gzip%22	https://wirid-lab.umng.edu.co/wp-includes/css/admin-bar.min.css?ver=6.1.1	C:/Users/vaneg/OneDrive/Escritorio/WiridLab/WiridLab/wirid-lab.umng.edu.co/wp-includes/css/admin-bar.min6a4d.css	(from https://wirid-lab.umng.edu.co/es/)
08:02:44	94889/94889	---M-Z	200	added ('OK')	text/css	etag:%22172a9-5ed8ffda98615-gzip%22	https://wirid-lab.umng.edu.co/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/Users/vaneg/OneDrive/Escritorio/WiridLab/WiridLab/wirid-lab.umng.edu.co/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://wirid-lab.umng.edu.co/es/)
08:02:44	217/217	---M-Z	200	added ('OK')	text/css	etag:%22d9-5ec76a6958aa6-gzip%22	https://wirid-lab.umng.edu.co/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/vaneg/OneDrive/Escritorio/WiridLab/WiridLab/wirid-lab.umng.edu.co/wp-includes/css/classic-themes.min68b3.css	(from https://wirid-lab.umng.edu.co/es/)
08:02:44	27265/27265	---M-Z	200	added ('OK')	application/rss+xml	etag:%22dcdf08c993bd5099ca14ca4f9dcc6a0a-gzip%22	https://wirid-lab.umng.edu.co/es/feed/	C:/Users/vaneg/OneDrive/Escritorio/WiridLab/WiridLab/wirid-lab.umng.edu.co/es/feed/index.html	(from https://wirid-lab.umng.edu.co/es/)
08:02:44	4224/4224	---M-Z	200	added ('OK')	text/css	etag:%221080-5d06fbbfde9a8-gzip%22	https://wirid-lab.umng.edu.co/wp-content/plugins/responsive-lightbox/assets/swipebox/swipebox.min.css?ver=2.3.3	C:/Users/vaneg/OneDrive/Escritorio/WiridLab/WiridLab/wirid-lab.umng.edu.co/wp-content/plugins/responsive-lightbox/assets/swipebox/swipebox.minb6db.css	(from https://wirid-lab.umng.edu.co/es/)
08:02:44	2776/2776	---M-Z	200	added ('OK')	application/rss+xml	etag:%22dcdf08c993bd5099ca14ca4f9dcc6a0a-gzip%22	https://wirid-lab.umng.edu.co/es/comments/feed/	C:/Users/vaneg/OneDrive/Escritorio/WiridLab/WiridLab/wirid-lab.umng.edu.co/es/comments/feed/index.html	(from https://wirid-lab.umng.edu.co/es/)
08:02:45	438/438	---M-Z	200	added ('OK')	text/css	etag:%221b6-5bfcb718f9307-gzip%22	https://wirid-lab.umng.edu.co/wp-content/plugins/easy-table-of-contents/vendor/icomoon/style.min.css?ver=2.0.17	C:/Users/vaneg/OneDrive/Escritorio/WiridLab/WiridLab/wirid-lab.umng.edu.co/wp-content/plugins/easy-table-of-contents/vendor/icomoon/style.min01f0.css	(from https://wirid-lab.umng.edu.co/es/)
